Year_Month,Travel_Mode,Card_type,Trip
2017-03,Bus,Child/Youth Single Bus Trip 1,43347
2017-03,Bus,Child/Youth Single Bus Trip 2,26923
2017-03,Bus,Child/Youth Single Bus Trip 3,8514
2017-03,Bus,Concession,2375998
2017-03,Bus,Employee,78376
2017-03,Bus,Free Travel,38557
2017-03,Bus,School Student,3137115
2017-03,Bus,Senior/Pensioner,4304384
2017-03,Ferry,Adult,882559
2017-03,Ferry,Child/Youth,63608
2017-03,Ferry,Concession,29447
2017-03,Ferry,Employee,4894
2017-03,Ferry,Free Travel,1857
2017-03,Ferry,School Student,2069
2017-03,Ferry,Senior/Pensioner,169605
2017-03,Ferry,Sgl Trip Ferry Adult,55429
2017-03,Ferry,Sgl Trip Ferry Child/Youth,6774
2017-03,Light rail,Adult,639505
2017-03,Light rail,Child/Youth,35233
2017-03,Light rail,Concession,36897
2017-03,Light rail,Free Travel,906
2017-03,Light rail,School Student,7282
2017-03,Light rail,Senior/Pensioner,151966
2017-03,Light rail,Sgl Trip LR Adult,2833
2017-03,Light rail,Sgl Trip LR Child/Youth,440
2017-03,Train,Adult,25670277
2017-03,Train,Child/Youth,1061092
2017-03,Train,Concession,2874972
2017-03,Train,Employee,331728
2017-03,Train,Free Travel,34502
2017-03,Train,School Student,1236042
2017-03,Train,Senior/Pensioner,2983728
2017-03,Train,Sgl Trip Rail Adult,320440
2017-03,Train,Sgl Trip Rail Child/Youth,53604
2017-04,Bus,Adult,12477134
2017-04,Bus,Adult Single Bus Trip 1,158538
2017-04,Bus,Adult Single Bus Trip 2,98729
2017-04,Bus,Adult Single Bus Trip 3,39330
2017-04,Bus,Child/Youth,1276586
2017-04,Bus,Child/Youth Single Bus Trip 1,54620
2017-04,Bus,Child/Youth Single Bus Trip 2,42726
2017-04,Bus,Child/Youth Single Bus Trip 3,12903
2017-04,Bus,Concession,1647277
2017-04,Bus,Employee,65750
2017-04,Bus,Free Travel,33012
2017-04,Bus,School Student,1062002
2017-04,Bus,Senior/Pensioner,3754438
2017-04,Ferry,Adult,953347
2017-04,Ferry,Child/Youth,149935
2017-04,Ferry,Concession,28963
2017-04,Ferry,Employee,5172
2017-04,Ferry,Free Travel,2199
2017-04,Ferry,School Student,839
2017-04,Ferry,Senior/Pensioner,193582
2017-04,Ferry,Sgl Trip Ferry Adult,59293
2017-04,Ferry,Sgl Trip Ferry Child/Youth,15138
2017-04,Light rail,Adult,587812
2017-04,Light rail,Child/Youth,48789
2017-04,Light rail,Concession,30959
2017-04,Light rail,Free Travel,905
2017-04,Light rail,School Student,2198
2017-04,Light rail,Senior/Pensioner,141087
2017-04,Light rail,Sgl Trip LR Adult,2666
2017-04,Light rail,Sgl Trip LR Child/Youth,821
2017-04,Train,Adult,21558784
2017-04,Train,Child/Youth,1333722
2017-04,Train,Concession,2080422
2017-04,Train,Employee,260847
2017-04,Train,Free Travel,29582
2017-04,Train,School Student,427515
2017-04,Train,Senior/Pensioner,2679990
2017-04,Train,Sgl Trip Rail Adult,298912
2017-04,Train,Sgl Trip Rail Child/Youth,75955
2017-05,Bus,Adult,14803185
2017-05,Bus,Adult Single Bus Trip 1,168079
2017-05,Bus,Adult Single Bus Trip 2,102429
2017-05,Bus,Adult Single Bus Trip 3,39400
2017-05,Bus,Child/Youth,1122661
2017-05,Bus,Child/Youth Single Bus Trip 1,40946
2017-05,Bus,Child/Youth Single Bus Trip 2,25907
2017-05,Bus,Child/Youth Single Bus Trip 3,7355
2017-05,Bus,Concession,2193095
2017-05,Bus,Employee,77797
2017-05,Bus,Free Travel,40054
2017-05,Bus,School Student,3124770
2017-05,Bus,Senior/Pensioner,4329706
2017-05,Ferry,Adult,812318
2017-05,Ferry,Child/Youth,63543
2017-05,Ferry,Concession,28200
2017-05,Ferry,Employee,5428
2017-05,Ferry,Free Travel,2355
2017-05,Ferry,School Student,2435
2017-05,Ferry,Senior/Pensioner,189654
2017-05,Ferry,Sgl Trip Ferry Adult,40290
2017-05,Ferry,Sgl Trip Ferry Child/Youth,5607
2017-05,Light rail,Adult,614636
2017-05,Light rail,Child/Youth,31460
2017-05,Light rail,Concession,32391
2017-05,Light rail,Free Travel,936
2017-05,Light rail,School Student,6885
2017-05,Light rail,Senior/Pensioner,144208
2017-05,Light rail,Sgl Trip LR Adult,2535
2017-05,Light rail,Sgl Trip LR Child/Youth,432
2017-05,Train,Adult,26157005
2017-05,Train,Child/Youth,952898
2017-05,Train,Concession,2727746
2017-05,Train,Employee,332707
2017-05,Train,Free Travel,35442
2017-05,Train,School Student,1272946
2017-05,Train,Senior/Pensioner,3039985
2017-05,Train,Sgl Trip Rail Adult,293744
